298617,613365,869605,834026,404964,859394,863682,442083,374245,727652,291418,298640,365139,268286,298634,475355,555747,855831,86013,834026,156722,839871,297644,298592,863598,452102,280513,279665,156724,86013,858477,22955,298605,442083,738253,285321,863598,283162,418403,298626,874907,298598,298638,404779,298643,858477,210882,298595,705735,727652,364923,374247,298598,861038,298592,156725,280510,298594,475465,406757,863598,640642,452072,298609,828984,298594,711765,842238,727652,880438,564462,298630,305865,105344,738346,283162,280513,298596,298638,347666,874907,156722,738346,86776,874907,298626,291418,298605,298616,861037,156722,298629,863598,555747,406598,828984,298594,863667,238346,374247
auto	0.0,0.358054250479,0.345384389162,0.385191708803,0.439753949642,0.348755329847,0.0,0.361819177866,0.278987169266,0.409347653389,0.307509213686,0.377291053534,0.0,0.0,0.281511485577,0.0,0.0,0.0,0.320544809103,0.0,0.501860678196,0.356159597635,0.0,0.0,0.418191671371,0.420424938202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490037858486,0.0,0.0,0.0,0.0,0.0,0.368862777948,0.0,0.335199117661,0.388834863901,0.0,0.0,0.391106575727,0.0,0.0,0.0,0.289983779192,0.0,0.500529170036,0.368125230074,0.36357191205,0.360102295876,0.0,0.0,0.614475905895,0.401421993971,0.276132047176,0.361543923616,0.343534320593,0.330432385206,0.287539154291,0.343972295523,0.0,0.320530742407,0.286266475916,0.310102880001,0.513597786427,0.288570076227,0.311842918396,0.0,0.347902864218,0.231894493103,0.44664850831,0.373738795519,0.427021354437,0.3484582901,0.354659825563,0.354334712029,0.0,0.0,0.0,0.0,0.0,0.352699667215,0.401557147503,0.0,0.0,0.338316440582,0.319700062275,0.40596395731,0.0,0.0,0.352697104216,0.323224484921,0.238217249513,0.355732262135,0.0,0.377081274986,0.457311242819,0.427867978811,0.389519304037,0.244625806808,0.0,0.0,0.390098184347,0.0,0.0,0.609616100788,0.379456192255,0.0,0.387277930975,0.463287770748,0.366735160351,0.0,0.0,0.413158506155,0.308120012283,0.0,0.342176377773,0.476294964552,0.314669936895,0.422354370356,0.0,0.427950620651,0.283023506403
textrank	0.396618872881,0.355552315712,0.345380693674,0.383003383875,0.442186594009,0.0,0.0,0.351461231709,0.274617940187,0.39566129446,0.303393989801,0.0,0.0,0.0,0.28411346674,0.0,0.357503920794,0.0,0.0,0.351710140705,0.497984886169,0.351464301348,0.0,0.0,0.0,0.429670214653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276450872421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509248375893,0.0,0.0,0.0,0.418417423964,0.0,0.36838054657,0.0,0.340575546026,0.0,0.383725225925,0.0,0.393658876419,0.376809895039,0.0,0.0,0.295188993216,0.0,0.0,0.0,0.369005143642,0.353429347277,0.390746295452,0.550939440727,0.0,0.0,0.269926607609,0.348426222801,0.346643745899,0.33189997077,0.287433356047,0.0,0.0,0.314400047064,0.28369051218,0.299062818289,0.504234433174,0.288100749254,0.314859718084,0.0,0.345303177834,0.230874598026,0.457393616438,0.371359974146,0.221657335758,0.354822337627,0.0,0.0,0.374554932117,0.0,0.0,0.0,0.0,0.378595173359,0.404587596655,0.401342123747,0.313878059387,0.347444415092,0.295511215925,0.371447265148,0.0,0.0,0.0,0.322760552168,0.242751941085,0.359736412764,0.0,0.379449218512,0.0,0.408183664083,0.376467198133,0.249083802104,0.0,0.449571937323,0.371995896101,0.508722126484,0.0,0.615035653114,0.0,0.0,0.709305226803,0.0,0.363950580359,0.0,0.0,0.42069286108,0.309908270836,0.329831659794,0.342697620392,0.478890776634,0.300848603249,0.437023878098,0.0,0.430391252041,0.297344505787
kea	0.427587300539,0.360086083412,0.346472412348,0.386158794165,0.443029820919,0.329513341188,0.0,0.3484980762,0.27930226922,0.395895630121,0.309040516615,0.371901512146,0.0,0.0,0.299050033092,0.0,0.356667786837,0.0,0.327321946621,0.354707270861,0.498781830072,0.364738643169,0.0,0.0,0.0,0.430238574743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274884492159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482306480408,0.0,0.0,0.0,0.419762730598,0.0,0.0,0.0,0.342286407948,0.404389947653,0.0,0.0,0.396103948355,0.380679786205,0.0,0.0,0.297568202019,0.0,0.50619417429,0.339217185974,0.362308084965,0.359836220741,0.424299001694,0.0,0.0,0.0,0.277400195599,0.363468199968,0.35048905015,0.323609739542,0.276013761759,0.0,0.0,0.341248631477,0.284924149513,0.311562538147,0.507955253124,0.297671705484,0.315998911858,0.0,0.0,0.24467651546,0.455400794744,0.375854372978,0.222429290414,0.356296688318,0.0,0.0,0.370621949434,0.0,0.0,0.0,0.0,0.367240875959,0.404933214188,0.402832746506,0.312540262938,0.353244841099,0.325414031744,0.398134499788,0.0,0.0,0.0,0.325502067804,0.243585467339,0.361936450005,0.0,0.387494593859,0.0,0.406863749027,0.379294037819,0.251803785563,0.0,0.426066190004,0.397774517536,0.498778551817,0.0,0.614656627178,0.384316682816,0.0,0.691854774952,0.468186676502,0.376739054918,0.0,0.0,0.425660729408,0.306370437145,0.331695258617,0.346173077822,0.484845221043,0.314253896475,0.443673044443,0.0,0.429551064968,0.291466057301
rake	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spacy_np	0.0,0.0,0.0,0.3436242342,0.452600002289,0.330627024174,0.0,0.0,0.290028274059,0.235886603594,0.30672571063,0.0,0.0,0.0,0.291131854057,0.0,0.0,0.0,0.0,0.0,0.5131072402,0.367486745119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469027429819,0.0,0.0,0.0,0.0,0.0,0.351102292538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289049446583,0.0,0.0,0.363529354334,0.358998596668,0.361756265163,0.0,0.0,0.0,0.0,0.318836033344,0.388178527355,0.0,0.292936116457,0.279749572277,0.0,0.0,0.356795668602,0.276139259338,0.31368497014,0.483501821756,0.298540681601,0.281377673149,0.0,0.0,0.28480181098,0.420445591211,0.0,0.0,0.0,0.0,0.0,0.365991353989,0.0,0.0,0.0,0.0,0.367441862822,0.0,0.0,0.0,0.330845504999,0.297137469053,0.367676079273,0.0,0.0,0.0,0.319105863571,0.30179643631,0.424486011267,0.0,0.0,0.0,0.436091542244,0.361370325089,0.299442410469,0.0,0.453601777554,0.40136012435,0.0,0.0,0.594757080078,0.360842525959,0.0,0.0,0.0,0.349033981562,0.277965158224,0.0,0.421651363373,0.311086237431,0.0,0.309315353632,0.441963225603,0.290962934494,0.440396815538,0.0,0.51903283596,0.0
StructMineDataPipeline	0.390701889992,0.34661513567,0.0,0.340543687344,0.444493323565,0.0,0.0,0.0,0.55055308342,0.0,0.288596183062,0.0,0.390466749668,0.0,0.278462260962,0.0,0.32262173295,0.0,0.0,0.346142083406,0.512590408325,0.365093290806,0.0,0.0,0.0,0.413313686848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475384265184,0.0,0.0,0.0,0.420499742031,0.0,0.343523263931,0.0,0.361831873655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279885262251,0.0,0.0,0.351596474648,0.35584589839,0.354787051678,0.417198807001,0.0,0.0,0.0,0.256572932005,0.372025251389,0.0,0.29966801405,0.273571491241,0.0,0.376389741898,0.310915142298,0.272968173027,0.303481608629,0.453222215176,0.272536486387,0.310880720615,0.0,0.0,0.271337717772,0.0,0.336550801992,0.0,0.0,0.0,0.0,0.367431789637,0.0,0.364937514067,0.0,0.0,0.366370528936,0.377248048782,0.39852553606,0.325169742107,0.323958218098,0.307748317719,0.365213721991,0.0,0.0,0.0,0.293450891972,0.0,0.408492833376,0.402710705996,0.0,0.0,0.393362432718,0.367342323065,0.244796603918,0.366203576326,0.427703559399,0.375977665186,0.512869954109,0.0,0.603237688541,0.346480995417,0.0,0.693593680859,0.43665355444,0.368131577969,0.281242400408,0.0,0.398165166378,0.295285671949,0.314164787531,0.325673639774,0.0,0.0,0.0,0.0,0.428155332804,0.311258345842
econ	0.468238204718,0.316909313202,0.311430633068,0.315744996071,0.412406206131,0.309070885181,0.0,0.0,0.494574576616,0.416683286428,0.354878693819,0.344331741333,0.370480567217,0.444383352995,0.275809913874,0.0,0.341615617275,0.49076846242,0.462098389864,0.388301789761,0.643283605576,0.440679788589,0.0,0.0,0.521589040756,0.407956808805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448087126017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494085997343,0.0,0.0,0.0,0.407059669495,0.0,0.32742574811,0.0,0.347712934017,0.393169313669,0.452804625034,0.48585242033,0.380040496588,0.353876769543,0.397738724947,0.45733320713,0.302050739527,0.391227006912,0.53442633152,0.36791357398,0.32949885726,0.329156160355,0.433170109987,0.627171099186,0.725743114948,0.502976596355,0.319410771132,0.399837434292,0.37136387825,0.319040983915,0.254263013601,0.408961474895,0.379636853933,0.359091132879,0.293492496014,0.324339300394,0.457364052534,0.326499640942,0.301498651505,0.537110328674,0.375253915787,0.283374249935,0.468189775944,0.309458136559,0.43709602952,0.382683694363,0.332063853741,0.376445144415,0.34847599268,0.401005238295,0.0,0.481719404459,0.0,0.347146987915,0.359197258949,0.38114798069,0.338092505932,0.305628269911,0.303132534027,0.336974352598,0.0,0.394655555487,0.359076172113,0.292709857225,0.278352707624,0.350961953402,0.37965759635,0.419115722179,0.482408672571,0.419920742512,0.346404105425,0.303542107344,0.350155591965,0.454058885574,0.436274498701,0.483960449696,0.395673811436,0.575258851051,0.346479713917,0.397740036249,0.653941094875,0.432652056217,0.346384555101,0.287429153919,0.57931047678,0.413873136044,0.295337229967,0.304866909981,0.352205693722,0.531006932259,0.307197064161,0.0,0.486098140478,0.536904096603,0.316932916641
econ	0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1
