1141705,737724,674853,668020,399352,1142301,53114,719894,737677,712022,1046576,214955,1591164,94067,444350,1183201,399897,737719,648974,1754168,340470,737716,266806,737682,266784,1183201,737723,604256,1902099,719917,648974,921448,737685,737685,737722,737730,737738,737708,737711,737684,321680,737722,1142301,241178,240466,399684,1142334,1046834,214955,1022977,1094461,737679,451611,737686,321680,737732,1023746,737723,724472,668020,737726,94067,399890,232316,674874,1023751,1046834,399890,921448,668086,737730,2065651,1591164,604243,174808,737678,444350,737732,1684860,737680,1046575,712022,921448,737719,737728,737713,737685,241178,604243,737719,737720,1142334,1142301,604514,737718,340470,737717,1141731,737715,1433689
auto	0.519732177258,0.366248190403,0.29540938139,0.362424731255,0.512077510357,0.316849768162,0.427386015654,0.0,0.602430045605,0.364035993814,0.50394564867,0.0,0.407310813665,0.354507148266,0.32902148366,0.397891640663,0.653877615929,0.357961773872,0.0,0.0,0.481416165829,0.360678225756,0.370384037495,0.0,0.31522333622,0.0,0.499338716269,0.485193759203,0.315116584301,0.530785501003,0.0,0.0,0.262405574322,0.0,0.0,0.424848049879,0.344585001469,0.348910927773,0.588433682919,0.387396544218,0.650256514549,0.622998774052,0.292606830597,0.578615605831,0.361598968506,0.286979079247,0.532160818577,0.461036711931,0.515289008617,0.384164631367,0.0,0.398023039103,0.339824616909,0.0,0.0,0.37389960885,0.431176692247,0.423718243837,0.318386346102,0.466950088739,0.417122334242,0.332358419895,0.677463829517,0.493766784668,0.0,0.40494170785,0.0,0.486592888832,0.0,0.364488422871,0.323869973421,0.362800896168,0.0,0.477007806301,0.487793833017,0.324728161097,0.375603109598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465733528137,0.457635968924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403051406145,0.0,0.0,0.0,0.0,0.0,0.0,0.480516642332,0.0,0.0,0.489194452763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608100533485,0.340084552765,0.504705965519,0.0,0.442784011364,0.593103647232,0.498404443264
textrank	0.511166036129,0.378867834806,0.292682170868,0.357385247946,0.468381822109,0.316962599754,0.419912457466,0.522596478462,0.604106426239,0.350890576839,0.504215598106,0.456378042698,0.404857039452,0.334152072668,0.323208749294,0.375216215849,0.649302959442,0.341034621,0.502187550068,0.285646617413,0.472832739353,0.355272680521,0.366881221533,0.0,0.310869336128,0.0,0.508141934872,0.495624423027,0.300032794476,0.52277058363,0.0,0.558126926422,0.496152758598,0.0,0.549294769764,0.422899544239,0.34471976757,0.331091165543,0.578538835049,0.373667776585,0.641664505005,0.60770124197,0.295874834061,0.543669998646,0.352338403463,0.29123455286,0.520608842373,0.452258497477,0.499779343605,0.375413358212,0.52282333374,0.406608730555,0.335175305605,0.0,0.357308208942,0.364141434431,0.430256903172,0.414156705141,0.307378381491,0.45446652174,0.395042419434,0.323802262545,0.570630609989,0.484988361597,0.373055309057,0.409851789474,0.590960562229,0.475419640541,0.549103438854,0.372510671616,0.306546807289,0.370805174112,0.421557664871,0.449205517769,0.459441363811,0.595731735229,0.348666965961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456911832094,0.450408190489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4177069664,0.0,0.0,0.0,0.0,0.0,0.0,0.465378731489,0.0,0.0,0.481163918972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602827012539,0.334893465042,0.473186820745,0.286363273859,0.437831908464,0.592972040176,0.465042233467
kea	0.516330063343,0.359314531088,0.290936499834,0.359691888094,0.472051441669,0.314392060041,0.424213111401,0.564273834229,0.605590701103,0.373702019453,0.506718814373,0.483524680138,0.40840497613,0.356426954269,0.306661128998,0.358980178833,0.645738601685,0.357239246368,0.507974803448,0.291419565678,0.445203661919,0.36379390955,0.380567282438,0.0,0.310590356588,0.0,0.496805220842,0.498785942793,0.31857585907,0.528333306313,0.0,0.565518975258,0.262193977833,0.0,0.0,0.388725280762,0.347757935524,0.363870382309,0.623102903366,0.376789361238,0.649375796318,0.614427149296,0.29200387001,0.543043673038,0.342546403408,0.284979045391,0.487018436193,0.459754347801,0.504192233086,0.381895154715,0.524677276611,0.390280753374,0.34047716856,0.0,0.0,0.355171084404,0.420295268297,0.419146448374,0.312868118286,0.456048697233,0.410840004683,0.314959794283,0.651231110096,0.434959471226,0.0,0.412329822779,0.595686435699,0.477799326181,0.0,0.367145776749,0.309170544147,0.374051809311,0.419342070818,0.471067905426,0.463961273432,0.330393612385,0.351712912321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45822840929,0.453057527542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412117749453,0.0,0.0,0.0,0.0,0.0,0.0,0.522709727287,0.0,0.0,0.486507207155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601568460464,0.342300415039,0.477134287357,0.303521513939,0.432203292847,0.58212697506,0.463584631681
rake	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spacy_np	0.0,0.0,0.269564032555,0.329807341099,0.0,0.320537865162,0.0,0.0,0.0,0.353370249271,0.458430707455,0.479926735163,0.38751783967,0.378591388464,0.30226919055,0.0,0.0,0.345219016075,0.0,0.0,0.44211897254,0.359046787024,0.0,0.0,0.29315546155,0.0,0.49029225111,0.448828339577,0.292260348797,0.497724980116,0.0,0.0,0.235170468688,0.0,0.0,0.0,0.342434853315,0.328132987022,0.598164439201,0.375639379025,0.0,0.0,0.308999866247,0.553466975689,0.31464445591,0.267933279276,0.461230605841,0.432871699333,0.0,0.357049942017,0.466207385063,0.387382924557,0.348500669003,0.0,0.0,0.0,0.447424411774,0.393290907145,0.283328264952,0.0,0.351639032364,0.332160532475,0.563027858734,0.0,0.0,0.0,0.562484443188,0.422263920307,0.0,0.422465324402,0.295573949814,0.36980432272,0.0,0.448927044868,0.457967400551,0.313924640417,0.35405087471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470131337643,0.0,0.0,0.500047028065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579847514629,0.353979706764,0.0,0.0,0.442355573177,0.480437427759,0.486803770065
StructMineDataPipeline	0.0,0.0,0.278676062822,0.343130409718,0.0,0.302063405514,0.0,0.0,0.0,0.36071524024,0.473110288382,0.0,0.40476116538,0.389368802309,0.299204409122,0.0,0.0,0.348726153374,0.467115432024,0.286890208721,0.456850647926,0.352666795254,0.0,0.0,0.302779138088,0.0,0.490085601807,0.0,0.313131570816,0.508897423744,0.0,0.516973018646,0.243677780032,0.0,0.0,0.0,0.355198055506,0.347447067499,0.603399574757,0.0,0.662582278252,0.0,0.0,0.548709571362,0.350396454334,0.280604481697,0.473844259977,0.445437610149,0.0,0.0,0.412372350693,0.0,0.315835654736,0.0,0.0,0.0,0.0,0.40031799674,0.289908230305,0.0,0.396356672049,0.320402771235,0.555465877056,0.0,0.0,0.41275408864,0.55836379528,0.443716824055,0.0,0.428061753511,0.336041241884,0.380034476519,0.415954887867,0.460647284985,0.0,0.332923859358,0.36011531949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47849085927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59814709425,0.0,0.458367973566,0.319054692984,0.448253929615,0.0,0.512515187263
econ	0.635985612869,0.571720957756,0.287825882435,0.327415049076,0.562559604645,0.322844237089,0.415345430374,0.635985612869,0.622679054737,0.362251490355,0.450232833624,0.580151021481,0.394688338041,0.386583209038,0.322539240122,0.428946167231,0.640600681305,0.333941757679,0.634753704071,0.289820641279,0.446265548468,0.341709375381,0.0,0.0,0.30328309536,0.0,0.496930003166,0.0,0.302759855986,0.482437849045,0.0,0.541958868504,0.465200334787,0.0,0.635985612869,0.0,0.355613470078,0.327907204628,0.618757069111,0.380959928036,0.793565630913,0.657875657082,0.0,0.589034676552,0.353874564171,0.301948815584,0.477051138878,0.462161123753,0.537928104401,0.403179436922,0.463231682777,0.436981320381,0.364625781775,0.0,0.407610416412,0.34428486228,0.0,0.404303312302,0.310439735651,0.414211064577,0.393124133348,0.384887397289,0.611742973328,0.570592045784,0.435810804367,0.406727820635,0.581882119179,0.494789928198,0.635985612869,0.450763255358,0.329368531704,0.0,0.499434143305,0.486689776182,0.544328451157,0.619906306267,0.38392329216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460834980011,0.509613871574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512379586697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587841570377,0.0,0.510695695877,0.315780520439,0.432104378939,0.647480249405,0.523159444332
econ	1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
